N,Approx,Actual
1,0.000000,0.000000
2,14450.000000,28900.000000
3,10678.666667,20834.666667
4,8192614.765625,10928433.687500
5,6560731.180500,8751046.160000
6,5647484.877269,7508789.138889
7,8083138.060982,10218947.836735
8,7331046.584610,9236780.250000
9,6528537.013480,8224028.888889
10,6303676.656132,7877174.160000
11,5994805.603246,7451676.925620
12,5496664.916401,6832259.972222
13,5480822.054830,6747593.822485
14,6137738.736045,7394673.265306
15,5924074.181494,7111178.648889
16,6297106.002426,7459568.871094
17,7169389.156160,8341140.678201
18,7890236.281401,9062722.645062
19,7805502.781972,8934642.786704
20,7719581.434873,8808283.060000
21,7658004.529919,8710164.331066
22,7447093.351155,8457960.084711
23,7124746.169618,8091727.606805
24,7324658.142007,8272947.659722
25,8238681.665926,9199331.680000
26,7926788.585523,8850689.693787
27,7865515.952396,8764133.582990
28,7649185.258032,8518101.275510
29,7686362.952156,8536064.302021
30,7474467.049343,8297373.165556
31,7244268.470128,8040993.003122
32,7017896.398826,7789723.655273
33,7051866.731538,7808012.591368
34,7052339.328204,7792545.011246
35,6856760.404634,7575991.368163
36,6815012.190462,7518513.583333
37,7433242.651585,8140019.937180
38,7272772.126638,7961899.770083
39,7307071.882119,7984339.614727
40,7758975.268332,8435582.594375
41,7849611.813694,8516713.518144
42,7822832.575716,8477956.181406
43,7682928.589545,8323817.294754
44,7767006.176493,8399345.266529
45,7615406.999633,8234171.404444
46,7642642.174540,8252239.345936
47,7649779.590647,8250096.757809
48,7512786.605912,8101073.280816
49,7733006.349252,8317069.296960
50,7708465.591515,8283502.777600
